id,word,level_number,student_saved_refs,srs_refs
69426f58-5045-4d17-b54d-3ac2a790020d,"important",1,1,0
0cf71cd3-3817-46b7-bad2-5b7fd13f9709,"campaign for",3,1,0
915b2093-2f07-4065-bfe6-29178d0500d6,"brew",3,1,0
83891e50-aea8-4b05-b412-92d3b05de375,"salty",1,1,0
157e9933-d448-41d6-b7cc-e61ebdd5ded2,"influence",3,1,0
e97b9433-b81d-4352-81ab-ef5315700c20,"catch",1,1,0
05fdde88-cc15-4479-a71c-c1fb8e6db7c9,"prevalent",3,1,0
c8422e50-f9b3-460b-9542-75b45f16f8f6,"incredible",1,1,0
a57596ab-0f22-42cc-93af-c1d1234c65e1,"reduce emissions",3,1,0
e44a4f5a-2926-4f78-94b5-6ffa4217b376,"survive",1,1,0
0cf661d8-b714-419f-978f-360b8a7b7d30,"historic",1,1,0
bce1c378-4e89-4bd1-b3fc-860603d03185,"lose",1,1,0
64d3a8ef-86e2-48dd-8c71-8f524fab2292,"switch to",3,1,0
93f26c25-2f90-4146-8aaa-f1085d2a901f,"band",1,1,0
ee55e519-a839-4669-8ae1-5c0e97be7e06,"train",1,1,0
5a008a71-3f43-4ea1-88d8-55823e1f1b18,"solar energy",3,1,0
478f3edb-8697-4946-8c5c-aeee314f1300,"satellite",1,1,0
7e0724de-ab5b-4d28-94eb-d07a7bf737c8,"comprise",3,1,0
77c3a954-8f10-4ab0-a05f-851d70230da1,"piano",1,1,0
b514b2e8-9568-473d-9f1a-24edfc25e573,"renewable source",3,1,0
984057cd-7ea2-4d12-be56-5bbe80c28326,"inventions",1,1,0
32e64df3-a5a9-473b-bd91-e09ff2c93348,"rhythm",1,1,0
0acbae41-6afe-404c-be7a-8b3881bd1ff7,"spread throughout",3,1,0
a16245e2-88cc-437c-907c-7cfe086b7c7c,"environmental impact",3,1,0
f1e9ae91-8a02-464a-9f11-c0ec6a467637,"smallholder",3,1,0
ae776800-cb9c-471a-b9c9-7b4f7f4f743e,"transcend",3,1,0
06dacc08-90a7-4a50-8454-dde88cff8ec8,"sink",1,1,0
034bd781-f6b9-4203-83a5-d8d7513bfc1d,"deep",1,1,0
2ffd11c6-bb7d-4cbc-8c53-416aff4ee0c4,"tipping point",3,1,0
71028607-b434-4402-a7bf-79130b9c8b02,"palace",1,1,0
f4111792-5b28-4732-af0e-86dd5e94afb1,"castle",1,1,0
5dac7ded-e43a-478a-81ce-a20792f02204,"instrument",1,1,0
ecb06782-16e5-4a72-95e3-297b58099b11,"fossil",3,1,0
31df2b9d-6b7d-48f9-aed4-520dbb35f865,"vibrant",3,1,0
f4eb57b7-1643-4c59-8cff-fdfe18db6e7b,"rank among",3,1,0
1265dabc-af9f-4c55-a35c-f191bdbd8dbc,"experiment",1,1,0
abc1fba2-787e-496b-8c4e-ac41f38f6aa9,"maintain",3,1,0
95b53763-34dc-404c-be47-6e8e65b79461,"dolphin",1,1,0
a0f74aa3-d923-40ea-b523-9b1b42381d7d,"demonstrate",3,1,0
cb6a98a8-8d6f-46b8-90fb-141220d77d92,"dark",1,1,0
2a2f2bfe-34e8-486e-9fd5-3ca099e61df4,"chain",3,1,0
9975e2b1-ddf6-4e0a-8908-55d037116631,"goal",1,1,0
178fb147-a3e5-4222-a7ee-6691e33b1b9a,"species richness",3,1,0
c80c0974-1903-4bc0-bab8-ce12aae5fb24,"travel",1,1,0
a78a9931-7dd1-4565-ac3a-fb762d8596d7,"variety",3,1,0
1625c503-e1e7-465d-a87c-3e30828f18ef,"popular",1,1,0
8d48a8ac-43f7-4d40-b70f-9f87b6b747fc,"beautiful",1,1,0
ec7aef69-7025-480c-8931-a9fcded1f45f,"think outside the box",3,1,0
ef79d156-2777-4d61-8184-fc181c80d308,"listen",1,1,0
08876042-a1cb-49cc-a57e-ddcd568420e5,"kick",1,1,0
66e30f39-c145-4e21-9fe0-fb903a8dc693,"brave",1,1,0
aee42b52-ad37-47ac-9231-f5c1dd3b5f39,"win",1,1,0
154cabcd-a46c-438b-a449-9ed28b856d46,"practical",3,1,0
c8040d67-735e-4b8d-943f-641a93454f69,"mild",3,1,0
fe767f6b-f137-479a-b66a-0b7230431597,"glow",1,1,0
a08fbaf9-57aa-4402-9f4f-cf6a267068d7,"brilliant",1,1,0
8c686133-ff81-42f3-9c79-1c25547b5e5f,"distinctive",3,1,0
c36deb42-6d8f-490d-bfb6-c47329c54152,"latte",3,1,0
15495da2-4a9f-4b68-8587-928be2ecb8b5,"guitar",1,1,0
479f45bb-853e-4e34-93f5-81880c54e16f,"popular",1,1,0
9932c663-aa0c-4a4c-b1a9-55a2bbfc7456,"committed",3,1,0
44c65d9f-1595-49d9-8391-90d773521777,"worry",1,1,0
4f839dc9-e455-430a-ab57-304cedafaed8,"certification",3,1,0
d82b4ef0-9982-412f-99e1-5c1fe694dd42,"import",3,1,0
fa3c370f-ed5f-4fac-8fca-16a0b3c6ff14,"eat",1,1,0
5c91adaa-b9e8-4065-95ac-f8398079892b,"earn",1,1,0
54453ac5-4e6f-4d58-b657-af07be5e5ad6,"energy efficient",3,1,0
6c5d3988-f2a3-4bac-825e-ea3c37cc5293,"acquire",3,1,0
d592a69a-eca2-4d09-b61f-0760912c701e,"unprecedented",3,1,0
fe2047ae-12cb-4798-9f29-2ca949cb3465,"stunning",1,1,0
d1db40e7-5bc3-4d65-8823-b65a3ed4f5c8,"net zero",3,1,0
5fa5d27f-ac51-4fa5-8989-0137a130f4c1,"turtle",1,1,0
a79dcdc9-afd5-4354-a274-bfc08fac0cc5,"create",1,1,0
e9f89f13-bbb8-4b05-bc6f-ab27bc1d704c,"global",3,1,0
12122904-c2cb-43bf-8cd3-90c2577848e8,"cappuccino",3,1,0
e6ee2d09-52a5-4eec-a14c-2f5f72f14c03,"ocean",1,1,0
3cc7b4c1-191c-47d8-ab43-fe53deab99c0,"devise",3,1,0
20d70925-eef6-49ad-9d3e-e53a6bf21f2d,"feasible",3,1,0
c32ca592-794c-42e8-863f-af87038fa966,"monument",1,1,0
39107dea-3715-44d8-a17e-7543226ce53e,"shallow",1,1,0
931df80f-1634-47bf-81bb-8373d750b23a,"phase out",3,1,0
04b375b4-8c51-4366-9271-a246fb77f694,"export",3,1,0
705e7c9d-c195-4f42-9220-95f19e1ad3ca,"secrets",1,1,0
a1406135-543c-45ae-846c-b6443da2f865,"loud",1,1,0
017294d8-c7e2-465a-ba43-375efe66e1cc,"instant",1,1,0
03253ab7-176f-4a40-a16e-9dcc2075e4e0,"entrance",1,1,0
efe8a749-5dc3-45ca-a1c7-58dd7ac863a1,"island",1,1,0
1e9e941a-d32e-4dbd-845d-f0c1ea06fbe0,"match",1,1,0
2b796e97-3bf3-44f4-9ee6-975552cdfcaf,"hero",1,1,0
e6ef4ec0-1b45-415a-94d5-5e26e040437d,"grind",3,1,0
c1b2f718-f6f9-4f30-8e7a-467280c8025e,"shifting",3,1,0
916f0434-f0d8-4482-bf5e-2a10298eac41,"compete",1,1,0
98a6d2ca-1869-4f80-af7d-ee6bf8f49b3a,"incredible",1,1,0
ab9aeb07-2f55-47fc-9e73-7681bf620a37,"talented",1,1,0
949e8f52-afb1-4fcf-b16c-d73ea53115ae,"processing",3,1,0
7de332ab-234a-4afd-a650-524aaa557280,"artist",1,1,0
584f5ce8-e16e-4cde-900e-b092a69353cb,"monitor",3,1,0
566da451-211f-4074-a9f4-45a3a4aee76c,"espresso",3,1,0
15dffd48-55f5-4f8a-90fe-e694f7776711,"transforms",1,1,0
aa1b3a0a-3e0c-4481-b0c6-e31bb29557f4,"creative",1,1,0
083e56c0-df36-4097-8a8e-0582ddea78b8,"utilize",3,1,0
0794bd2b-79f6-4706-aee9-0b11d7eb0287,"painting",1,1,0
8947a199-dd58-411e-83f4-29beafff7b3f,"fuel",3,1,0
35168c94-5491-46ec-976b-908ce40f4c73,"final",1,1,0
9768dda2-653e-42d8-bfef-cea2b7da7d40,"understated",3,1,0
4f5d6f0c-94a3-4b67-91b0-b1f214d7ee3c,"hospitality",3,1,0
a9a6d650-5e68-4063-9294-54fa440241ce,"sand",1,1,0
7d979187-c774-463d-97b3-8c655e81ffab,"convenient",1,1,0
1baefe46-d1b2-49ae-b571-82444901f904,"fluctuate",3,1,0
5284c820-2590-49b7-b088-278cabb517b2,"bitterness",3,1,0
3b2a072e-5605-44dc-bde5-047b62ca7ce8,"upcycling",3,1,0
f0620859-81af-415c-bdaf-d8a0598eda5c,"degradation",3,1,0
c66251fa-d20c-4c6d-be89-ee1541bc8179,"carbon tax",3,1,0
97fca41d-5a34-4fc8-bd74-fa2894d192ba,"important",0,1,0
731e4a58-e65c-4b06-b724-c51b7aee7a3b,"tree planting",3,1,0
ff82ebb0-395e-4037-85d7-01ebed9fa5cf,"transition",3,1,0
1800836a-042f-4cd9-88da-ea7b25c1c2cd,"combine",1,1,0
d4ab626b-b615-4588-b38b-c01335aef31b,"medal",1,1,0
