vocab_id,word,level,unit_number,unit_title,part_of_speech,definition_ar,example_en,has_audio,has_image,keep_id,reason
f47ce65f-5aa4-4a17-84fa-b1b51d4f1003,morning,0,1,Daily Life,noun,الصباح - الجزء الأول من النهار من الاستيقاظ حتى الظهر,I drink tea every morning.,False,False,e73f681f-bad5-4c9b-9029-8e53ea14e56f,"same word+POS, diff Arabic def"
159aea67-6fcd-4381-b254-b0cf6edb442f,delicious,0,2,Food & Cooking,adjective,لذيذ، طعمه جميل,This cake is delicious.,False,False,0ac7da76-7c31-4345-b820-3fb342b547de,"same word+POS, diff Arabic def"
3fe78724-223c-45dd-ba1a-c069537b2817,small,0,4,Animals Around Us,adjective,صغير - ليس كبيرًا، قليل الحجم,A mouse is a small animal.,False,False,909e4a37-2ec2-4ddb-a1d1-0230b636df5e,"same word+POS, diff Arabic def"
20600445-b88b-4aad-a167-489756e005df,weather,0,5,Weather & Seasons,noun,طقس، أحوال جوية,The weather today is sunny and warm.,False,False,c21648d2-2c53-4786-8d94-0d4cb776e460,"same word+POS, diff Arabic def"
89532cda-72ea-44ff-91f4-ebcf901c60e1,family,0,6,Family & Friends,noun,عائلة، أسرة,My family has five people.,False,False,25a68962-00e6-4b92-80ae-ba25db4b1831,"same word+POS, diff Arabic def"
c35b11fb-12d5-49e1-b0c0-13ab25a81da6,share,0,6,Family & Friends,verb,يشارك، يقاسم,I share my food with my sister.,False,False,4c474fa5-511f-4c78-a86a-4eb41b444be0,"same word+POS, diff Arabic def"
b5f5c2fa-154f-4982-b9d6-1d018ce4a906,sell,0,7,Shopping & Money,verb,يبيع,My father sells fruit at the market.,False,False,00006064-1dee-4ed3-a8ce-f3f91aa09c47,"same word+POS, diff Arabic def"
94cd25fe-1287-4620-a89f-a62ca777da76,buy,0,7,Shopping & Money,verb,يشتري، يقتني بالمال,I want to buy a new book.,False,False,4a30b929-07ff-4331-bc0d-4f81b3b31408,"same word+POS, diff Arabic def"
fc3a46a9-1b90-4de6-a671-382d7d5bb2da,spend,0,7,Shopping & Money,verb,ينفق أو يصرف,I spend 20 riyals on lunch every day.,False,False,60e14c37-4e8b-4419-b308-d2a2f7aa014b,"same word+POS, diff Arabic def"
2bfaabe8-cca8-4df3-8bda-5bee340fd544,food,0,8,Health & Body,noun,طعام,I like healthy food.,False,False,ae2256ff-95f4-4a2b-9192-29720368f256,"same word+POS, diff Arabic def"
70238593-d323-4b73-81b2-d703b8fa76f3,advanced,0,11,Technology Today,adjective,متقدم، متطور,This is an advanced English class.,False,False,6b6e3c0d-45fd-4511-8f55-76ede091a60a,"same word+POS, diff Arabic def"
7fdaf251-9b0a-4e1b-b7d6-eee1cf4c7c1e,apps,0,11,Technology Today,noun,تطبيقات، برامج صغيرة للهاتف,I have many apps on my phone.,False,False,e6f3ac4d-56da-43f5-a3ea-1fd8be3b41e6,"same word+POS, diff Arabic def"
642e17ec-998c-46ae-b658-655e47b09dd9,special,1,1,Cultural Festivals,adjective,خاص، مميز,Today is a special day because it's my wedding.,False,False,f69225a3-6fbe-4532-a669-ca2d6a20eddd,"same word+POS, diff Arabic def"
d1bdfd11-8cc9-4ac0-ad5f-bfb737b711f2,explore,1,2,Ocean Life,verb,استكشاف، اكتشاف مكان جديد,Children like to explore the park.,False,False,84150772-7dc0-4fca-b60d-417c8009c26e,"same word+POS, diff Arabic def"
887ecd27-5984-49e9-bfde-88881078a0ae,create,1,4,Music & Art,verb,يخلق، ينشئ، يصنع,Children create toys from empty boxes.,False,False,17836ba4-aa02-40d8-bc91-836845f3ac95,"same word+POS, diff Arabic def"
52b1e244-bd0e-4029-acbd-2a8718ba0594,incredible,1,5,Famous Places,adjective,لا يصدق، مذهل جداً,The mountain view is incredible.,False,False,74bd51da-459c-444a-bb19-d2dc38f2a61b,"same word+POS, diff Arabic def"
1ebd83a8-b340-4732-9a16-08f04cb97bbe,created,1,6,Inventions,verb,أنشأ، ابتكر، خلق (الماضي من create),The artist created a beautiful painting.,False,False,7c9ab985-d59b-483b-9eb0-7c99df23de24,"same word+POS, diff Arabic def"
66e30f39-c145-4e21-9fe0-fb903a8dc693,brave,1,7,Sports Stars,adjective,شجاع، جريء، لا يخاف من الخطر,The brave firefighter saved the cat.,False,False,4e2d4470-8cb5-4269-9d4f-bcf5ceb437e8,"same word+POS, diff Arabic def"
323ae254-2797-4520-88c1-be00cadecadb,train,1,7,Sports Stars,verb,يتدرب، يدرِّب,I train at the gym every morning.,False,False,ee55e519-a839-4669-8ae1-5c0e97be7e06,"same word+POS, diff Arabic def"
978dece7-0213-466b-9c99-323e23998633,inspire,1,7,Sports Stars,verb,يلهم، يشجع، يحفز شخصاً لفعل شيء,My teacher inspires me to study harder.,False,False,33b96ee8-59a0-4c0f-91b1-f5eafc235b38,"same word+POS, diff Arabic def"
341ea373-ae9b-4371-8140-3a5be8683d15,carefully,1,8,Ancient Civilizations,adverb,بعناية، بحذر، بدقة,Please drive carefully in the rain.,False,False,d4dbecec-6df2-4b7c-852c-be8d1354a2e8,"same word+POS, diff Arabic def"
21617db0-3e20-489e-9bbd-c2326d552e79,popular,1,11,Social Media,adjective,شعبي، محبوب من قبل كثير من الناس,Pizza is very popular with children.,False,False,93a84c73-5273-43a0-8458-9da7b3ccf1a6,"same word+POS, diff Arabic def"
f77a3cf9-efd4-457e-af75-5839060abc55,sustainable,1,12,Green Living,adjective,مستدام، صديق للبيئة,Solar energy is a sustainable way to make electricity.,False,False,a588fd2e-0adf-4cb8-b54f-5fba9d477a18,"same word+POS, diff Arabic def"
f5830a6d-5e58-4a70-824c-17fc3dca76f2,protect,1,12,Green Living,verb,يحمي شخصاً أو شيئاً من الأذى أو الضرر,We must protect our children from danger.,False,False,542b4707-75bb-4d71-94ec-99f49fe7b56d,"same word+POS, diff Arabic def"
95e38776-9753-4c08-8210-6833cc87b75a,process,2,1,Brain & Memory,verb,يعالج، يتعامل مع المعلومات,I need time to process what you told me.,False,False,1de6be96-91eb-455c-bb83-3636aab498dd,"same word+POS, diff Arabic def"
1c8f677d-0eed-4b7e-9b30-dafcb4a50748,uncovering,2,5,Hidden History,verb,اكتشاف أو العثور على شيء مخفي,The police are uncovering new evidence about the crime.,False,False,78a600af-bd8d-4e7d-ac1c-98fc203d9f72,"same word+POS, diff Arabic def"
d4b42bb8-a942-4fc5-9986-0b9467da5248,rely on,2,6,Future Cities,verb,يعتمد على، يثق في,Students rely on their teachers to help them learn English.,False,False,00fc83ac-674b-421a-8684-11e4185d11b6,"same word+POS, diff Arabic def"
a0c3e64c-d482-41ec-95c0-f5fab00336f2,disconnect,2,7,Digital Detox,verb,ينقطع عن، يفصل الاتصال,Please disconnect the computer from the internet.,False,False,563642af-c888-442e-98fd-1ed1c344ddf8,"same word+POS, diff Arabic def"
a8e1b42b-487f-4319-80a8-31eca80af6a8,set up,2,7,Digital Detox,verb,ينشئ، يؤسس، يجهز,My father helped me set up my new computer.,False,False,fb11decd-d047-45fe-b595-9fb49cd87e0e,"same word+POS, diff Arabic def"
570eeaf1-f8e4-4876-8719-dc5f9b5c97e6,spectacular,2,8,Mountain Adventures,adjective,مذهل، رائع، بديع المنظر,The sunset from the mountain was spectacular.,False,False,0ce183ca-6b17-4baf-9abd-986f23f6e794,"same word+POS, diff Arabic def"
9c40e618-6149-4dee-9847-ff0c2f937218,running out,2,10,Water Crisis,verb,نفاد، انتهاء,We're running out of milk. We need to buy more.,False,False,ac443329-d76c-4daa-9483-eadc2753d271,"same word+POS, diff Arabic def"
5fcf34b9-080d-4490-aa63-4696b6a1037a,collaborate,2,11,Street Art,verb,يتعاون، يعمل مع الآخرين,Students collaborate on group projects to learn better.,False,False,2313a1b4-8c57-44a3-95f4-a38ff5c64201,"same word+POS, diff Arabic def"
74a57c91-1d73-4259-b655-49bebb10cb9e,implemented,3,1,Artificial Intelligence,verb,ينفذ، يطبق، يضع موضع التنفيذ,The school implemented a new dress code policy last year.,False,False,7801c80c-b5ef-426a-b4cc-2157c03cae2a,"same word+POS, diff Arabic def"
2b634e74-668a-4805-a37e-bdecc45e8a4d,participate,3,4,Global Coffee Culture,verb,يشارك، يتشارك في، يأخذ دوراً في,All students are encouraged to participate in class discussions.,False,False,bd0d2c51-db60-4b30-a72f-4142f3adf09a,"same word+POS, diff Arabic def"
1ef63d33-daf8-47f5-87bb-97909183b26d,embrace,3,6,Virtual Reality,verb,يتبنى، يقبل بحماس، يحتضن فكرة أو تقنية,Many companies have embraced remote working after the pandemic.,False,False,f604dbfd-15dc-42f2-b7ec-fbaacb55f836,"same word+POS, diff Arabic def"
d133f126-ffd7-47c8-b684-9f1bec4ed103,overcome,3,7,Psychology of Fear,verb,يتغلب على، يقهر، يتجاوز,She worked hard to overcome her shyness.,False,False,146ba67d-b86b-4ec2-9a41-925aaceae146,"same word+POS, diff Arabic def"
584f5ce8-e16e-4cde-900e-b092a69353cb,monitor,3,11,Digital Privacy,verb,راقب، تابع، رصد,Doctors monitor patients' health during surgery.,False,False,d9c609df-dcbd-4a4c-9b7c-3112a00cb43f,"same word+POS, diff Arabic def"
5fc26fc8-036d-4686-b522-ab8b8a57a430,formidable,3,12,Mars Exploration,adjective,هائل، مخيف، صعب جداً,She has a formidable knowledge of history and can answer any question.,False,False,47252d86-ac02-4d21-af10-b34888a101c4,"same word+POS, diff Arabic def"
10ad9683-ea6b-40b6-9594-e16fe063d21a,eradicate,4,1,Bioethics,verb,يقضي على، يستأصل، يزيل تماماً,The government launched a campaign to eradicate poverty in rural areas.,False,False,6c2cb38e-6974-437b-a49b-7838521425bc,"same word+POS, diff Arabic def"
af18ea26-fda2-4bde-9ed2-fa6b97002f1d,ethical,4,1,Bioethics,adjective,أخلاقي، متعلق بالأخلاق، قيمي,The company faced ethical questions about its environmental practices.,False,False,1b278bc5-a82b-4e85-988e-dc532b60abb9,"same word+POS, diff Arabic def"
e1fd0d83-fea4-486e-ae79-7eb07fa832db,implications,4,1,Bioethics,noun,التداعيات، الآثار، النتائج المحتملة,The manager explained the implications of the new policy to all employees.,False,False,fc90113c-ae03-41b6-81e8-830ad41c5e45,"same word+POS, diff Arabic def"
